"";"country_code";"date";"deaths"
"461";"MX";2020-03-23;3
"462";"MX";2020-03-30;20
"463";"MX";2020-04-06;94
"464";"MY";2020-03-16;0
"465";"MY";2020-03-23;14
"466";"MY";2020-03-30;37
"467";"MY";2020-04-06;62
"468";"MZ";2020-03-23;0
"469";"MZ";2020-03-30;0
"470";"MZ";2020-04-06;0
"471";"NA";2020-03-23;0
"472";"NA";2020-03-30;0
"473";"NA";2020-04-06;0
"474";"NC";2020-03-23;0
"475";"NC";2020-03-30;0
"476";"NC";2020-04-06;0
"477";"NE";2020-03-30;3
"478";"NE";2020-04-06;10
"479";"NG";2020-03-16;0
"480";"NG";2020-03-23;1
"481";"NG";2020-03-30;2
"482";"NG";2020-04-06;5
"483";"NI";2020-03-23;0
"484";"NI";2020-03-30;1
"485";"NI";2020-04-06;1
"486";"NL";2020-03-16;24
"487";"NL";2020-03-23;213
"488";"NL";2020-03-30;864
"489";"NL";2020-04-06;1867
"490";"NO";2020-03-16;3
"491";"NO";2020-03-23;10
"492";"NO";2020-03-30;32
"493";"NO";2020-04-06;76
"494";"NP";2020-03-16;0
"495";"NP";2020-03-23;0
"496";"NP";2020-03-30;0
"497";"NP";2020-04-06;0
"498";"NZ";2020-03-16;0
"499";"NZ";2020-03-23;0
"500";"NZ";2020-03-30;1
"501";"NZ";2020-04-06;1
"502";"OM";2020-03-16;0
"503";"OM";2020-03-23;0
"504";"OM";2020-03-30;0
"505";"OM";2020-04-06;2
"506";"PA";2020-03-16;1
"507";"PA";2020-03-23;6
"508";"PA";2020-03-30;27
"509";"PA";2020-04-06;54
"510";"PE";2020-03-16;0
"511";"PE";2020-03-23;5
"512";"PE";2020-03-30;18
"513";"PE";2020-04-06;92
"514";"PF";2020-03-16;0
"515";"PF";2020-03-23;0
"516";"PF";2020-03-30;0
"517";"PF";2020-04-06;0
"518";"PG";2020-03-23;0
"519";"PG";2020-03-30;0
"520";"PG";2020-04-06;0
"521";"PH";2020-03-16;12
"522";"PH";2020-03-23;33
"523";"PH";2020-03-30;78
"524";"PH";2020-04-06;163
"525";"PK";2020-03-16;0
"526";"PK";2020-03-23;6
"527";"PK";2020-03-30;21
"528";"PK";2020-04-06;53
"529";"PL";2020-03-16;4
"530";"PL";2020-03-23;8
"531";"PL";2020-03-30;31
"532";"PL";2020-04-06;107
"533";"PR";2020-03-16;0
"534";"PR";2020-03-23;2
"535";"PR";2020-03-30;6
"536";"PR";2020-04-06;21
"537";"PS";2020-03-16;0
"538";"PS";2020-03-23;0
"539";"PS";2020-03-30;1
"540";"PS";2020-04-06;1
"541";"PT";2020-03-16;1
"542";"PT";2020-03-23;23
"543";"PT";2020-03-30;140
"544";"PT";2020-04-06;311
"545";"PY";2020-03-16;0
"546";"PY";2020-03-23;1
"547";"PY";2020-03-30;3
"548";"PY";2020-04-06;5
"549";"QA";2020-03-16;0
"550";"QA";2020-03-23;0
"551";"QA";2020-03-30;1
"552";"QA";2020-04-06;4
"553";"RO";2020-03-16;0
"554";"RO";2020-03-23;7
"555";"RO";2020-03-30;65
"556";"RO";2020-04-06;176
"557";"RS";2020-03-16;0
"558";"RS";2020-03-23;3
"559";"RS";2020-03-30;16
"560";"RS";2020-04-06;58
"561";"RU";2020-03-16;0
"562";"RU";2020-03-23;1
"563";"RU";2020-03-30;9
"564";"RU";2020-04-06;47
"565";"RW";2020-03-16;0
"566";"RW";2020-03-23;0
"567";"RW";2020-03-30;0
"568";"RW";2020-04-06;0
"569";"SA";2020-03-16;0
"570";"SA";2020-03-23;0
"571";"SA";2020-03-30;8
"572";"SA";2020-04-06;38
"573";"SC";2020-03-16;0
"574";"SC";2020-03-23;0
"575";"SC";2020-03-30;0
"576";"SC";2020-04-06;0
"577";"SD";2020-03-16;1
"578";"SD";2020-03-23;1
"579";"SD";2020-03-30;2
"580";"SD";2020-04-06;2
"581";"SE";2020-03-16;7
"582";"SE";2020-03-23;25
"583";"SE";2020-03-30;146
"584";"SE";2020-04-06;477
"585";"SG";2020-03-16;0
"586";"SG";2020-03-23;2
"587";"SG";2020-03-30;3
"588";"SG";2020-04-06;6
"589";"SI";2020-03-16;1
"590";"SI";2020-03-23;3
"591";"SI";2020-03-30;11
"592";"SI";2020-04-06;30
"593";"SK";2020-03-16;0
"594";"SK";2020-03-23;0
"595";"SK";2020-03-30;0
"596";"SK";2020-04-06;2
"597";"SM";2020-03-16;7
"598";"SM";2020-03-23;20
"599";"SM";2020-03-30;25
"600";"SM";2020-04-06;32
"601";"SN";2020-03-16;0
"602";"SN";2020-03-23;0
"603";"SN";2020-03-30;0
"604";"SN";2020-04-06;2
"605";"SO";2020-03-23;0
"606";"SO";2020-03-30;0
"607";"SO";2020-04-06;0
"608";"SR";2020-03-16;0
"609";"SR";2020-03-23;0
"610";"SR";2020-03-30;0
"611";"SR";2020-04-06;1
"612";"SV";2020-03-23;0
"613";"SV";2020-03-30;0
"614";"SV";2020-04-06;4
"615";"SX";2020-03-23;0
"616";"SX";2020-03-30;0
"617";"SX";2020-04-06;6
"618";"SY";2020-03-23;0
"619";"SY";2020-03-30;2
"620";"SY";2020-04-06;2
"621";"SZ";2020-03-16;0
"622";"SZ";2020-03-23;0
"623";"SZ";2020-03-30;0
"624";"SZ";2020-04-06;0
"625";"TD";2020-03-23;0
"626";"TD";2020-03-30;0
"627";"TD";2020-04-06;0
"628";"TG";2020-03-16;0
"629";"TG";2020-03-23;0
"630";"TG";2020-03-30;1
"631";"TG";2020-04-06;3
"632";"TH";2020-03-16;1
"633";"TH";2020-03-23;1
"634";"TH";2020-03-30;9
"635";"TH";2020-04-06;26
"636";"TL";2020-03-30;0
"637";"TL";2020-04-06;0
"638";"TN";2020-03-16;0
"639";"TN";2020-03-23;3
"640";"TN";2020-03-30;9
"641";"TN";2020-04-06;22
"642";"TR";2020-03-16;0
"643";"TR";2020-03-23;37
"644";"TR";2020-03-30;168
"645";"TR";2020-04-06;649
"646";"TT";2020-03-16;0
"647";"TT";2020-03-23;0
"648";"TT";2020-03-30;3
"649";"TT";2020-04-06;8
"650";"TW";2020-03-16;1
"651";"TW";2020-03-23;2
"652";"TW";2020-03-30;5
"653";"TW";2020-04-06;5
"654";"TZ";2020-03-16;0
"655";"TZ";2020-03-23;0
"656";"TZ";2020-03-30;0
"657";"TZ";2020-04-06;1
"658";"UA";2020-03-16;1
"659";"UA";2020-03-23;3
"660";"UA";2020-03-30;13
"661";"UA";2020-04-06;38
"662";"UG";2020-03-23;0
"663";"UG";2020-03-30;0
"664";"UG";2020-04-06;0
"665";"US";2020-03-16;76
"666";"US";2020-03-23;548
"667";"US";2020-03-30;3005
"668";"US";2020-04-06;10826
"669";"UY";2020-03-16;0
"670";"UY";2020-03-23;0
"671";"UY";2020-03-30;1
"672";"UY";2020-04-06;6
"673";"UZ";2020-03-23;0
"674";"UZ";2020-03-30;2
"675";"UZ";2020-04-06;2
"676";"VA";2020-03-16;0
"677";"VA";2020-03-23;0
"678";"VA";2020-03-30;0
"679";"VA";2020-04-06;0
"680";"VC";2020-03-16;0
"681";"VC";2020-03-23;0
"682";"VC";2020-03-30;0
"683";"VC";2020-04-06;0
"684";"VE";2020-03-16;0
"685";"VE";2020-03-23;0
"686";"VE";2020-03-30;3
"687";"VE";2020-04-06;7
"688";"VN";2020-03-16;0
"689";"VN";2020-03-23;0
"690";"VN";2020-03-30;0
"691";"VN";2020-04-06;0
"692";"XK";2020-03-16;0
"693";"XK";2020-03-23;1
"694";"XK";2020-03-30;1
"695";"XK";2020-04-06;3
"696";"ZA";2020-03-16;0
"697";"ZA";2020-03-23;0
"698";"ZA";2020-03-30;3
"699";"ZA";2020-04-06;12
"700";"ZM";2020-03-23;0
"701";"ZM";2020-03-30;0
"702";"ZM";2020-04-06;1
"703";"ZW";2020-03-23;1
"704";"ZW";2020-03-30;1
"705";"ZW";2020-04-06;1
"706";"ZZ";2020-03-16;7
"707";"ZZ";2020-03-23;8
"708";"ZZ";2020-03-30;10
